INFO:__main__:Epoch 12: Val_loss=1.6664, Val_acc=0.8080, Val_f1=0.8049
INFO:__main__:Epoch 12: Test_loss=1.3556, Test_acc=0.8238, Test_f1=0.8148
INFO:__main__:Epoch 13: Train_loss=0.0078, Train_acc=0.9977, Train_f1=0.9977
INFO:__main__:Epoch 13: Val_loss=1.6714, Val_acc=0.8083, Val_f1=0.8060
INFO:__main__:Epoch 13: Test_loss=1.3628, Test_acc=0.8320, Test_f1=0.8249
INFO:__main__:Epoch 14: Train_loss=0.0078, Train_acc=0.9972, Train_f1=0.9972
INFO:__main__:Epoch 14: Val_loss=1.6894, Val_acc=0.8078, Val_f1=0.8040
INFO:__main__:Epoch 14: Test_loss=1.3688, Test_acc=0.8184, Test_f1=0.8069
INFO:__main__:Epoch 15: Train_loss=0.0075, Train_acc=0.9977, Train_f1=0.9977
INFO:__main__:Epoch 15: Val_loss=1.7026, Val_acc=0.8088, Val_f1=0.8065
INFO:__main__:Epoch 15: Test_loss=1.4021, Test_acc=0.8238, Test_f1=0.8169
INFO:__main__:Epoch 16: Train_loss=0.0088, Train_acc=0.9969, Train_f1=0.9969
INFO:__main__:Epoch 16: Val_loss=1.6976, Val_acc=0.8092, Val_f1=0.8071
INFO:__main__:Epoch 16: Test_loss=1.3772, Test_acc=0.8238, Test_f1=0.8169
INFO:__main__:Epoch 17: Train_loss=0.0080, Train_acc=0.9975, Train_f1=0.9975
INFO:__main__:Epoch 17: Val_loss=1.7321, Val_acc=0.8096, Val_f1=0.8074
INFO:__main__:Epoch 17: Test_loss=1.3763, Test_acc=0.8238, Test_f1=0.8169
INFO:__main__:Epoch 18: Train_loss=0.0060, Train_acc=0.9979, Train_f1=0.9979
INFO:__main__:Epoch 18: Val_loss=1.7023, Val_acc=0.8092, Val_f1=0.8070
INFO:__main__:Epoch 18: Test_loss=1.3686, Test_acc=0.8238, Test_f1=0.8169
INFO:__main__:Epoch 19: Train_loss=0.0076, Train_acc=0.9977, Train_f1=0.9977
INFO:__main__:Epoch 19: Val_loss=1.7018, Val_acc=0.8094, Val_f1=0.8073
INFO:__main__:Epoch 19: Test_loss=1.3784, Test_acc=0.8238, Test_f1=0.8169
INFO:__main__:Epoch 20: Train_loss=0.0080, Train_acc=0.9974, Train_f1=0.9974
INFO:__main__:Epoch 20: Val_loss=1.7200, Val_acc=0.8092, Val_f1=0.8071
INFO:__main__:Epoch 20: Test_loss=1.3845, Test_acc=0.8238, Test_f1=0.8169
INFO:__main__:Epoch 1: Train_loss=0.4447, Train_acc=0.7961, Train_f1=0.7959
INFO:__main__:Epoch 1: Val_loss=0.3884, Val_acc=0.8351, Val_f1=0.8402
INFO:__main__:Epoch 1: Test_loss=0.3696, Test_acc=0.8428, Test_f1=0.8474
INFO:__main__:Epoch 2: Train_loss=0.2247, Train_acc=0.9166, Train_f1=0.9161
INFO:__main__:Epoch 2: Val_loss=0.4678, Val_acc=0.8250, Val_f1=0.8354
