INFO:__main__:Epoch 18: Val_loss=1.3010, Val_acc=0.8199, Val_f1=0.8206
INFO:__main__:Epoch 18: Test_loss=1.0653, Test_acc=0.8103, Test_f1=0.8108
INFO:__main__:Epoch 19: Train_loss=0.0033, Train_acc=0.9989, Train_f1=0.9989
INFO:__main__:Epoch 19: Val_loss=1.3066, Val_acc=0.8204, Val_f1=0.8209
INFO:__main__:Epoch 19: Test_loss=1.1717, Test_acc=0.8103, Test_f1=0.8098
INFO:__main__:Epoch 20: Train_loss=0.0033, Train_acc=0.9991, Train_f1=0.9991
INFO:__main__:Epoch 20: Val_loss=1.3036, Val_acc=0.8202, Val_f1=0.8208
INFO:__main__:Epoch 20: Test_loss=1.2662, Test_acc=0.8103, Test_f1=0.8098
INFO:__main__:Epoch 1: Train_loss=0.5136, Train_acc=0.7455, Train_f1=0.7473
INFO:__main__:Epoch 1: Val_loss=0.4197, Val_acc=0.8122, Val_f1=0.8212
INFO:__main__:Epoch 1: Test_loss=0.4463, Test_acc=0.8184, Test_f1=0.8204
INFO:__main__:Epoch 2: Train_loss=0.3450, Train_acc=0.8525, Train_f1=0.8522
INFO:__main__:Epoch 2: Val_loss=0.3691, Val_acc=0.8355, Val_f1=0.8335
INFO:__main__:Epoch 2: Test_loss=0.3653, Test_acc=0.8347, Test_f1=0.8272
INFO:__main__:Epoch 3: Train_loss=0.2357, Train_acc=0.9081, Train_f1=0.9080
INFO:__main__:Epoch 3: Val_loss=0.3702, Val_acc=0.8414, Val_f1=0.8377
INFO:__main__:Epoch 3: Test_loss=0.3661, Test_acc=0.8320, Test_f1=0.8249
INFO:__main__:Epoch 4: Train_loss=0.1437, Train_acc=0.9488, Train_f1=0.9487
INFO:__main__:Epoch 4: Val_loss=0.3969, Val_acc=0.8446, Val_f1=0.8427
INFO:__main__:Epoch 4: Test_loss=0.3642, Test_acc=0.8428, Test_f1=0.8415
INFO:__main__:Epoch 5: Train_loss=0.0796, Train_acc=0.9770, Train_f1=0.9770
INFO:__main__:Epoch 5: Val_loss=0.4432, Val_acc=0.8433, Val_f1=0.8409
INFO:__main__:Epoch 5: Test_loss=0.3896, Test_acc=0.8482, Test_f1=0.8462
INFO:__main__:Epoch 6: Train_loss=0.0395, Train_acc=0.9917, Train_f1=0.9917
INFO:__main__:Epoch 6: Val_loss=0.4616, Val_acc=0.8438, Val_f1=0.8442
INFO:__main__:Epoch 6: Test_loss=0.3867, Test_acc=0.8509, Test_f1=0.8518
INFO:__main__:Epoch 7: Train_loss=0.0355, Train_acc=0.9923, Train_f1=0.9923
INFO:__main__:Epoch 7: Val_loss=0.4713, Val_acc=0.8424, Val_f1=0.8412
INFO:__main__:Epoch 7: Test_loss=0.4051, Test_acc=0.8509, Test_f1=0.8501
INFO:__main__:Epoch 8: Train_loss=0.0319, Train_acc=0.9937, Train_f1=0.9937
INFO:__main__:Epoch 8: Val_loss=0.4802, Val_acc=0.8421, Val_f1=0.8417
INFO:__main__:Epoch 8: Test_loss=0.4273, Test_acc=0.8564, Test_f1=0.8564
INFO:__main__:Epoch 9: Train_loss=0.0293, Train_acc=0.9942, Train_f1=0.9942
INFO:__main__:Epoch 9: Val_loss=0.4901, Val_acc=0.8426, Val_f1=0.8428
INFO:__main__:Epoch 9: Test_loss=0.4131, Test_acc=0.8482, Test_f1=0.8495
INFO:__main__:Epoch 10: Train_loss=0.0274, Train_acc=0.9948, Train_f1=0.9948
INFO:__main__:Epoch 10: Val_loss=0.4985, Val_acc=0.8421, Val_f1=0.8422
INFO:__main__:Epoch 10: Test_loss=0.5038, Test_acc=0.8482, Test_f1=0.8495
INFO:__main__:Epoch 11: Train_loss=0.0244, Train_acc=0.9959, Train_f1=0.9959
INFO:__main__:Epoch 11: Val_loss=0.4997, Val_acc=0.8421, Val_f1=0.8420
INFO:__main__:Epoch 11: Test_loss=0.4135, Test_acc=0.8509, Test_f1=0.8518
INFO:__main__:Epoch 12: Train_loss=0.0242, Train_acc=0.9955, Train_f1=0.9955
INFO:__main__:Epoch 12: Val_loss=0.4996, Val_acc=0.8417, Val_f1=0.8418
INFO:__main__:Epoch 12: Test_loss=0.4668, Test_acc=0.8482, Test_f1=0.8495
INFO:__main__:Epoch 13: Train_loss=0.0238, Train_acc=0.9958, Train_f1=0.9958
INFO:__main__:Epoch 13: Val_loss=0.5016, Val_acc=0.8419, Val_f1=0.8423
INFO:__main__:Epoch 13: Test_loss=0.4297, Test_acc=0.8482, Test_f1=0.8495
INFO:__main__:Epoch 14: Train_loss=0.0243, Train_acc=0.9959, Train_f1=0.9959
INFO:__main__:Epoch 14: Val_loss=0.5045, Val_acc=0.8415, Val_f1=0.8413
INFO:__main__:Epoch 14: Test_loss=0.4370, Test_acc=0.8509, Test_f1=0.8518
INFO:__main__:Epoch 15: Train_loss=0.0226, Train_acc=0.9964, Train_f1=0.9964
INFO:__main__:Epoch 15: Val_loss=0.5059, Val_acc=0.8417, Val_f1=0.8413
INFO:__main__:Epoch 15: Test_loss=0.4503, Test_acc=0.8509, Test_f1=0.8518
INFO:__main__:Epoch 16: Train_loss=0.0231, Train_acc=0.9955, Train_f1=0.9955
INFO:__main__:Epoch 16: Val_loss=0.5068, Val_acc=0.8419, Val_f1=0.8418
INFO:__main__:Epoch 16: Test_loss=0.4584, Test_acc=0.8509, Test_f1=0.8518
INFO:__main__:Epoch 17: Train_loss=0.0238, Train_acc=0.9952, Train_f1=0.9952
INFO:__main__:Epoch 17: Val_loss=0.5060, Val_acc=0.8414, Val_f1=0.8412
INFO:__main__:Epoch 17: Test_loss=0.4434, Test_acc=0.8509, Test_f1=0.8518
INFO:__main__:Epoch 18: Train_loss=0.0229, Train_acc=0.9960, Train_f1=0.9960
INFO:__main__:Epoch 18: Val_loss=0.5058, Val_acc=0.8417, Val_f1=0.8417
INFO:__main__:Epoch 18: Test_loss=0.4593, Test_acc=0.8482, Test_f1=0.8495
INFO:__main__:Epoch 19: Train_loss=0.0235, Train_acc=0.9957, Train_f1=0.9957
INFO:__main__:Epoch 19: Val_loss=0.5057, Val_acc=0.8417, Val_f1=0.8417
INFO:__main__:Epoch 19: Test_loss=0.4248, Test_acc=0.8482, Test_f1=0.8495
INFO:__main__:Epoch 20: Train_loss=0.0225, Train_acc=0.9961, Train_f1=0.9961
INFO:__main__:Epoch 20: Val_loss=0.5073, Val_acc=0.8415, Val_f1=0.8416
INFO:__main__:Epoch 20: Test_loss=0.4473, Test_acc=0.8482, Test_f1=0.8495
